tx,ts,address,amount,type,second_net
0x15396dd1f99589c4dc38b13e980a16f0bd6510b43d1194454faafcde49f4750e,2021-07-02 15:40:15,0xDcF5690239bF501960a337D63b5B21E9D900BECC,105,Deposit,Rinkeby
0x15396dd1f99589c4dc38b13e980a16f0bd6510b43d1194454faafcde49f4750e,2021-07-02 15:40:10,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,10,Deposit,Rinkeby
0x15396dd1f99589c4dc38b13e980a16f0bd6510b43d1194454faafcde49f4750e,2021-07-02 15:40:00,0xDcF5690239bF501960a337D63b5B21E9D900BECC,150,Deposit,Rinkeby
0xe8855d891b45405d0703dbee70e8eb4ed0984ecf068c17a39f49c2004bea781c,2021-06-12 20:40:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,0.1,Withdrawal,Goerli
0x4285c3c667da1a31225fa74bfbf56f23beb968a6ca3abac8ba61c52f6f022881,2021-06-10 15:50:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,100,Withdrawal,Goerli
0x95ae43a96cf3cf0c1950dc8c3edd27bc1a13025d010bf1c4c3de86716da3d235,2021-06-10 11:30:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,0.025,Withdrawal,Goerli
0xd2b3590cebe747ebf2b5ca65065e4748feed73c5511e2ae35601df0179d671ff,2021-06-08 11:30:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,1.5,Withdrawal,Goerli
0xc66fe6b89e6f226c366a31610145ba98d37c439d97787c00cca55352fae87ec4,2021-06-06 17:30:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,0.05,Withdrawal,Goerli
0x0aba93d1e956e0c42c645d0f40cc0b188109bf47b73fbf4551613cecc9856881,2021-06-05 07:30:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,100,Withdrawal,Goerli
0x73801bf912067ad0b0ccf4405b113abe3e02afdecd40170840a6c5e2d23a39db,2021-06-05 06:45:00,0xf50aced0016256bc3aee3b4dca2170c9c8cd3abb,100,Withdrawal,Goerli
